[2022-10-19 10:24:03] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:24:13] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:24:13] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:24:13] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:24:13] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:24:13] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:24:13] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:24:13] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:24:13] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:24:13] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:24:13] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:24:13] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:24:13] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:24:13] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:24:13] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:24:22] INFO [http-nio-8080-exec-1] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:24:22] INFO [http-nio-8080-exec-1] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:24:23] INFO [http-nio-8080-exec-1] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:24:23] INFO [http-nio-8080-exec-1] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:24:25] INFO [http-nio-8080-exec-2] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:24:25] INFO [http-nio-8080-exec-2] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
